#,age,Name,Player,Achievements,Unnamed: 3,Unnamed: 4,Unnamed: 5,Earnings
342,,,Avian,,4,5,3,"$26,264"
343,30.0,Khalil Pleas,b1ologic,,3,1,4,"$26,177"
344,23.0,Reinaldo Gilbert,Tolji,,5,7,3,"$26,150"
345,23.0,Victor Hugo Lopes de Araujo,Hornetao,,4,1,3,"$26,060"
346,23.0,Josias Ezequiel Altamirano,Soco,,2,1,2,"$25,931"
347,28.0,Gaël Gruyere,Liven,,6,2,4,"$25,916"
348,27.0,Brandon Sathongnhot,Euphoria,,3,2,2,"$25,830"
349,24.0,Huang Chih-hang,HARAM3E.,,6,1,2,"$25,657"
350,,,Fonkers,,3,2,3,"$25,616"
351,26.0,Hou Tsung-cheng,Ed,,7,6,1,"$25,476"
352,27.0,José Abad Cruz Diaz,Motumbo,,9,2,1,"$25,239"
353,21.0,Rodrigo Iván Quiroz Ramírez,Rovi,,3,1,0,"$25,186"
354,22.0,Edoardo Treglia,T3b,,6,1,1,"$25,067"
355,23.0,Peter Christie-Cnossen,Silent,,4,6,7,"$25,027"
356,28.0,Choi Min-ho,CrazyBoy,,1,6,6,"$24,994"
357,22.0,Federico Miller,Pechito,,4,2,4,"$24,948"
358,27.0,Lee Seong-beom,Kanos,,3,4,8,"$24,865"
359,24.0,Logan Parker,Sonar,,2,1,0,"$24,818"
360,,,Gity,,11,5,4,"$24,777"
361,,,Eddy,,5,4,7,"$24,651"
362,28.0,Nolan Crouzery,Joghurtzz,,4,2,3,"$24,543"
363,34.0,George Kassa,KingGeorge,,1,0,3,"$24,485"
364,22.0,Lorenzo Masuccio,Lollo,,2,2,2,"$24,451"
365,26.0,Ivan Federico Dal Molin,Ragn4r,,7,1,2,"$24,353"
366,26.0,Takumi Iwasaki,JJ,,1,5,8,"$24,235"
367,29.0,Vincent Baucino,Falko,,4,1,2,"$24,215"
368,23.0,Im Seung-hwan,saeyeora,,2,3,4,"$23,963"
369,24.0,Patrick Wines,Pat,,5,2,3,"$23,945"
370,,,Rento,,1,1,1,"$23,848"
371,,,Renuilz,,5,2,2,"$23,680"
372,25.0,Jonas Kaczmarzyk,Jonka,,4,3,2,"$23,576"
373,,,ZephiR,,1,6,5,"$23,552"
374,20.0,Charlie Foote,Creedz,,4,2,2,"$23,406"
375,25.0,Ali Mohammed,mL77A,,2,1,2,"$23,402"
376,23.0,Alessio Aquilano,Aqui,,2,2,2,"$23,118"
377,27.0,Brendan Carr,Derpeh,,3,2,2,"$22,993"
378,24.0,Chen Rui-wei,Ray,,5,5,2,"$22,842"
379,33.0,Lee In-yeop,Neilyo,,13,0,1,"$22,799"
380,,,sTiZze,,5,1,2,"$22,709"
381,28.0,Tomás Freddo Otañi,TomHagen,,2,2,5,"$22,626"
382,23.0,Peter Bull,Pacbull,,2,1,0,"$22,534"
383,21.0,Siwa Kaewtossapone,Nerix,,9,4,4,"$22,251"
384,24.0,Alex Nordlund,SlebbeN,,2,1,3,"$22,126"
385,26.0,Naoki Takamoto,Yura,,1,3,4,"$22,080"
386,28.0,Medhi Marty,Kaktus,,6,4,4,"$21,975"
387,24.0,Daniel Castelo,P1XIE,,5,3,0,"$21,972"
388,21.0,Jesse Ojanen,Jeggz,,6,4,1,"$21,589"
389,21.0,Yuuta Yanagi,Tyopi,,0,1,2,"$21,540"
390,,,Wifi,,4,5,2,"$21,186"
391,23.0,Jack Gillies,Jigsaw,,4,5,1,"$21,094"
392,,,Hayward,,3,5,4,"$21,012"
393,,,FightiR,,3,0,0,"$21,000"
394,24.0,Vincent Daniele,Vincere,,4,4,3,"$20,996"
395,,,DD,,1,0,2,"$20,874"
396,22.0,Andrey Mironov,m1loN,,1,2,5,"$20,786"
397,24.0,Georgi Stoyanov,GorgoNa,,1,2,3,"$20,757"
398,,,Hajime,,6,11,5,"$20,750"
399,21.0,Yuki Ishii,YuKiz,,0,3,0,"$20,635"
400,26.0,Hikaru Osawa,Li9ht,,0,3,6,"$20,295"
401,24.0,Jang Hyun-jun,dmaly,,2,0,2,"$20,294"
402,24.0,Toya Kojima,solty,,1,3,3,"$20,174"
403,,,Worthy,,5,2,4,"$20,167"
404,29.0,Cha Won-il,iLeven,,1,5,10,"$19,993"
405,25.0,Sasha Michelizzi,Sasha,,0,2,2,"$19,919"
406,24.0,Juusei Oura,Eclair,,0,0,2,"$19,879"
407,28.0,Jeronimo Vallejo,Tucu,,0,2,3,"$19,822"
408,,,Hatez,,5,4,2,"$19,755"
409,23.0,Victor Hugo Bruschini,Bersa,,3,5,1,"$19,713"
410,,,Giovanni,,4,2,1,"$19,503"
411,,,Draw,,2,1,4,"$19,463"
